company_name,website,company_linkedin,description,company_size,address,phone_number,region,other_locations,is_door_supplier,door_product_types,has_div8_estimator,estimator_position_details,has_job_postings_with_emilian,is_Emullion_customer,would_be_good_Emullion_customer,uses_bluebeam,uses_planswift,uses_stack,uses_proest,uses_on_center,technology_stack,target_decision_makers,software_decision_makers,confidence_score,lead_name,lead_email,lead_company,lead_title,lead_phone,lead_score,lead_linkedin
Granite Construction Inc.,https://www.graniteconstruction.com,https://www.linkedin.com/company/granite-construction,"A civil construction and materials company specializing in transportation, water infrastructure, and mineral exploration markets; member of S&P 600 Index; based in Watsonville, CA.","5,001-10,000 employees","Watsonville, California (specific address available on company contact page)",1 831 724-1011,"United States, multiple regional offices including Alaska, Arizona, California, Mississippi, Nevada, Oregon, Utah, Washington, Texas, New York","Multiple regional offices across the United States including Texas, New York and others as listed on company website",no,,no,,no,no,no,no,no,no,no,no,,"Likely includes CFO, IT Director, Purchasing Manager, Procurement Officers","Likely IT Director, Purchasing Manager, Procurement Officers",9.0,Kyle Larkin,,Granite Construction Inc.,President & CEO,,8,https://www.linkedin.com/in/kyle-larkin-1a2589141
Granite Construction Inc.,https://www.graniteconstruction.com,https://www.linkedin.com/company/granite-construction,"A civil construction and materials company specializing in transportation, water infrastructure, and mineral exploration markets; member of S&P 600 Index; based in Watsonville, CA.","5,001-10,000 employees","Watsonville, California (specific address available on company contact page)",1 831 724-1011,"United States, multiple regional offices including Alaska, Arizona, California, Mississippi, Nevada, Oregon, Utah, Washington, Texas, New York","Multiple regional offices across the United States including Texas, New York and others as listed on company website",no,,no,,no,no,no,no,no,no,no,no,,"Likely includes CFO, IT Director, Purchasing Manager, Procurement Officers","Likely IT Director, Purchasing Manager, Procurement Officers",9.0,Staci Woolsey,,Granite Construction Inc.,EVP & CFO,,7,
Granite Construction Inc.,https://www.graniteconstruction.com,https://www.linkedin.com/company/granite-construction,"A civil construction and materials company specializing in transportation, water infrastructure, and mineral exploration markets; member of S&P 600 Index; based in Watsonville, CA.","5,001-10,000 employees","Watsonville, California (specific address available on company contact page)",1 831 724-1011,"United States, multiple regional offices including Alaska, Arizona, California, Mississippi, Nevada, Oregon, Utah, Washington, Texas, New York","Multiple regional offices across the United States including Texas, New York and others as listed on company website",no,,no,,no,no,no,no,no,no,no,no,,"Likely includes CFO, IT Director, Purchasing Manager, Procurement Officers","Likely IT Director, Purchasing Manager, Procurement Officers",9.0,Jacqueline Rasmussen,,Granite Construction Inc.,Purchasing Manager,,7,https://www.linkedin.com/in/jacqueline-rasmussen
Granite Construction Inc.,https://www.graniteconstruction.com,https://www.linkedin.com/company/granite-construction,"A civil construction and materials company specializing in transportation, water infrastructure, and mineral exploration markets; member of S&P 600 Index; based in Watsonville, CA.","5,001-10,000 employees","Watsonville, California (specific address available on company contact page)",1 831 724-1011,"United States, multiple regional offices including Alaska, Arizona, California, Mississippi, Nevada, Oregon, Utah, Washington, Texas, New York","Multiple regional offices across the United States including Texas, New York and others as listed on company website",no,,no,,no,no,no,no,no,no,no,no,,"Likely includes CFO, IT Director, Purchasing Manager, Procurement Officers","Likely IT Director, Purchasing Manager, Procurement Officers",9.0,Peter Young,,Granite Construction Inc.,Director of Information Technology,,7,https://www.linkedin.com/in/peter-young
Granite Construction Inc.,https://www.graniteconstruction.com,https://www.linkedin.com/company/granite-construction,"A civil construction and materials company specializing in transportation, water infrastructure, and mineral exploration markets; member of S&P 600 Index; based in Watsonville, CA.","5,001-10,000 employees","Watsonville, California (specific address available on company contact page)",1 831 724-1011,"United States, multiple regional offices including Alaska, Arizona, California, Mississippi, Nevada, Oregon, Utah, Washington, Texas, New York","Multiple regional offices across the United States including Texas, New York and others as listed on company website",no,,no,,no,no,no,no,no,no,no,no,,"Likely includes CFO, IT Director, Purchasing Manager, Procurement Officers","Likely IT Director, Purchasing Manager, Procurement Officers",9.0,Risa Latheef,,Granite Construction Inc.,Procurement Officer - UAE,,6,
Granite Construction Inc.,https://www.graniteconstruction.com,https://www.linkedin.com/company/granite-construction,"A civil construction and materials company specializing in transportation, water infrastructure, and mineral exploration markets; member of S&P 600 Index; based in Watsonville, CA.","5,001-10,000 employees","Watsonville, California (specific address available on company contact page)",1 831 724-1011,"United States, multiple regional offices including Alaska, Arizona, California, Mississippi, Nevada, Oregon, Utah, Washington, Texas, New York","Multiple regional offices across the United States including Texas, New York and others as listed on company website",no,,no,,no,no,no,no,no,no,no,no,,"Likely includes CFO, IT Director, Purchasing Manager, Procurement Officers","Likely IT Director, Purchasing Manager, Procurement Officers",9.0,Kim Craig,,Granite Construction Inc.,SVP Finance & Treasurer,,5,
"ACC Exterior, LLC",,,"Exterior contractor specializing in decks, porches, fences, hardscape",,"14572 Croatan Drive, Centreville, VA 20120",(240) 535-3000,Virginia,,no,,no,,no,no,no,no,no,no,no,no,,"Cho Simon, President","Cho Simon, President",7.5,Cho Simon,,"ACC Exterior, LLC",President,,7,https://rocketreach.co/cho-simon-email_353000052
Coastal Doors Inc,https://www.coastaldoors.com/,,"Coastal Doors Inc is a Houston, Texas-based supplier specializing in commercial doors, frames, and hardware with over 40 years of industry experience, serving general contractors throughout Houston, Texas, and the Southern United States.",11-50 employees (estimated),"382 Garden Oaks Blvd, Houston, TX 77018-5502",(713) 694-0700,"Primarily Houston, Texas",,yes,"Commercial hollow metal doors, aluminum frames, commercial wood doors, commercial-grade door hardware",no,No public evidence of current Div 8 estimator openings or positions.,no,no,yes,no,no,no,no,no,,"Darrell Hartman (President), Rick Ryckewaert (Vice President)","Darrell Hartman (President), Rick Ryckewaert (Vice President)",8.5,Darrell Hartman,,Coastal Doors Inc,President,(713) 694-0700,8,
Coastal Doors Inc,https://www.coastaldoors.com/,,"Coastal Doors Inc is a Houston, Texas-based supplier specializing in commercial doors, frames, and hardware with over 40 years of industry experience, serving general contractors throughout Houston, Texas, and the Southern United States.",11-50 employees (estimated),"382 Garden Oaks Blvd, Houston, TX 77018-5502",(713) 694-0700,"Primarily Houston, Texas",,yes,"Commercial hollow metal doors, aluminum frames, commercial wood doors, commercial-grade door hardware",no,No public evidence of current Div 8 estimator openings or positions.,no,no,yes,no,no,no,no,no,,"Darrell Hartman (President), Rick Ryckewaert (Vice President)","Darrell Hartman (President), Rick Ryckewaert (Vice President)",8.5,Rick Ryckewaert,,Coastal Doors Inc,Vice President,(713) 694-0700,8,
Coastal Doors Inc,https://www.coastaldoors.com/,,"Coastal Doors Inc is a Houston, Texas-based supplier specializing in commercial doors, frames, and hardware with over 40 years of industry experience, serving general contractors throughout Houston, Texas, and the Southern United States.",11-50 employees (estimated),"382 Garden Oaks Blvd, Houston, TX 77018-5502",(713) 694-0700,"Primarily Houston, Texas",,yes,"Commercial hollow metal doors, aluminum frames, commercial wood doors, commercial-grade door hardware",no,No public evidence of current Div 8 estimator openings or positions.,no,no,yes,no,no,no,no,no,,"Darrell Hartman (President), Rick Ryckewaert (Vice President)","Darrell Hartman (President), Rick Ryckewaert (Vice President)",8.5,Christina Jones,,Coastal Doors Inc,Administrator (Accounting and Administration),(713) 694-0700,5,
Beacon Commercial Door & Lock,https://www.beaconcdl.com,https://www.linkedin.com/company/beaconcommercialdoor&lock,"Beacon Commercial Door & Lock is a Utah-based commercial door and hardware supplier specializing in hollow metal and wood commercial doors, frames, hardware, and access control systems with a focus on Division 8 projects and over 50 years of experience.",51-200 employees (estimated),"2770 S West Temple, Salt Lake City, UT 84115-3502",801-486-4884,"Utah, primarily Greater Salt Lake City area",,yes,"commercial (hollow metal doors, wood doors)",no,No current Div 8 estimator position or job postings found; estimator roles like Jacob Colton are present but not specifically Div 8.,no,no,yes,no,no,no,no,no,,"Jared Butler (VP Sales), James Neve (Controller)","Likely James Neve (Controller), possibly Jared Butler (VP Sales)",9.5,Jared Butler,,Beacon Commercial Door & Lock,Vice President of Sales,,8,https://www.linkedin.com/in/jared-butler-40951a68
Beacon Commercial Door & Lock,https://www.beaconcdl.com,https://www.linkedin.com/company/beaconcommercialdoor&lock,"Beacon Commercial Door & Lock is a Utah-based commercial door and hardware supplier specializing in hollow metal and wood commercial doors, frames, hardware, and access control systems with a focus on Division 8 projects and over 50 years of experience.",51-200 employees (estimated),"2770 S West Temple, Salt Lake City, UT 84115-3502",801-486-4884,"Utah, primarily Greater Salt Lake City area",,yes,"commercial (hollow metal doors, wood doors)",no,No current Div 8 estimator position or job postings found; estimator roles like Jacob Colton are present but not specifically Div 8.,no,no,yes,no,no,no,no,no,,"Jared Butler (VP Sales), James Neve (Controller)","Likely James Neve (Controller), possibly Jared Butler (VP Sales)",9.5,Jacob Colton,,Beacon Commercial Door & Lock,Estimator,,7,https://www.linkedin.com/in/jacob-colton-46b282130
Beacon Commercial Door & Lock,https://www.beaconcdl.com,https://www.linkedin.com/company/beaconcommercialdoor&lock,"Beacon Commercial Door & Lock is a Utah-based commercial door and hardware supplier specializing in hollow metal and wood commercial doors, frames, hardware, and access control systems with a focus on Division 8 projects and over 50 years of experience.",51-200 employees (estimated),"2770 S West Temple, Salt Lake City, UT 84115-3502",801-486-4884,"Utah, primarily Greater Salt Lake City area",,yes,"commercial (hollow metal doors, wood doors)",no,No current Div 8 estimator position or job postings found; estimator roles like Jacob Colton are present but not specifically Div 8.,no,no,yes,no,no,no,no,no,,"Jared Butler (VP Sales), James Neve (Controller)","Likely James Neve (Controller), possibly Jared Butler (VP Sales)",9.5,"James Neve, MBA",,Beacon Commercial Door & Lock,Controller,,9,https://www.linkedin.com/in/james-neve
California Motor Controls (CM Controls),https://www.cmcontrols.com/,https://www.linkedin.com/company/cm-controls,"Manufacturer of electrical control panels specializing in smart pump controls and communication systems mainly for municipal and commercial applications. Provides UL508A and UL698A certified panels, with over 30 years of industry experience.",11-50 employees,"3070 Bay Vista Ct., Benicia, CA 94510, USA",1-707-746-6255,"Benicia, California, USA",,no,,no,,no,no,no,no,no,no,no,no,,"President & CEO (Tom Duling), COO (Jarrod S.)",Potentially CEO Tom Duling and COO Jarrod S.,9.5,Tom Duling,sales@cmcontrols.com,California Motor Controls (CM Controls),President & CEO,1-707-746-6255,9,https://www.linkedin.com/in/tom-duling-745a1a25
California Motor Controls (CM Controls),https://www.cmcontrols.com/,https://www.linkedin.com/company/cm-controls,"Manufacturer of electrical control panels specializing in smart pump controls and communication systems mainly for municipal and commercial applications. Provides UL508A and UL698A certified panels, with over 30 years of industry experience.",11-50 employees,"3070 Bay Vista Ct., Benicia, CA 94510, USA",1-707-746-6255,"Benicia, California, USA",,no,,no,,no,no,no,no,no,no,no,no,,"President & CEO (Tom Duling), COO (Jarrod S.)",Potentially CEO Tom Duling and COO Jarrod S.,9.5,Jarrod S.,sales@cmcontrols.com,California Motor Controls (CM Controls),Chief Operating Officer,1-707-746-6255,8,https://www.linkedin.com/in/jarrod-s-2418225a
