company_name,description,linkedin,website,employees_raw,employee_count,industry,summary,has_estimators,decision_makers,lead_count,relevant_lead_count,is_qualified,qualification_reason,enrichment_status,icp_match
World Manufacturing,Manufacturer Of Plastic Fabrications,https://www.linkedin.com/company/world-manufactruing-inc-,https://worldmanufacturing.com/,Estimated small-to-medium family-owned business since 1979,1979,Commercial door manufacturing specializing in plastic fabrications for restaurants and commercial kitchens,"World Manufacturing, Inc. is a family-owned commercial door manufacturer based in Costa Mesa, CA, specializing in plastic door fabrications including traffic doors, cooler doors, air curtains, and related products primarily serving restaurants and commercial kitchens.",No,,2.0,0.0,False,"Confidence score 8.5 >= 7.0; Employee count 1979 (from 'Estimated small-to-medium family-owned business since 1979') >= 10; No estimator detected: No estimators found in titles or company details; ICP match: yes, world manufacturing shares industry characteristics with other door suppliers like overly door ; No decision makers found",Success,"Yes, World Manufacturing shares industry characteristics with other door suppliers like Overly Door Co., Acudor Products, Inc., and voestalpine Roll Forming Corporation but focuses on plastic doors and restaurant markets which differentiates it."
Yale Security,"Manufacturer of floor closers, overhead concealed closers, pivots, overhead stops & holders, fire/life safety products, electrified deadbolts, gate closers, glass storefront hardware, hardware specification writers, technical support, hardware for lead lined doors & fire door hardware.",https://www.linkedin.com/company/yalehomeglobal/,http://www.yalecommercial.com,1001-5000,1001,"Industrial Products, Intermediate Products, Door and Hardware Manufacturing","Yale Security, operating as ASSA ABLOY ACCENTRA, is a manufacturer of commercial architectural door hardware including floor and overhead closers, pivots, fire/life safety products, electrified deadbolts, gate closers, glass storefront hardware, and specialized hardware for lead lined and fire doors. The company provides hardware specification writing and technical support services and serves primarily commercial and institutional markets.","No confirmed evidence of dedicated DIV 8 estimators on staff, though specification writing services may imply internal or partner estimating activities.",,1.0,0.0,False,"Confidence score 8.5 >= 7.0; Employee count 1001 (from '1001-5000') >= 10; No estimator detected: No estimators found in titles or company details; ICP match: yes, yale security is similar to door hardware manufacturers like overly door co. and acudor product; No decision makers found",Success,"Yes, Yale Security is similar to door hardware manufacturers like Overly Door Co. and Acudor Products, Inc., due to its focus on commercial architectural door hardware, fire/life safety products, and related services."
Specialty Products & Insulation Co.,"Manufacturer and distributor of mechanical and building insulation products used for thermal, acoustic, and fire protection applications. Commercial, industrial, and residential insulation products are available, as well as refractory and marine insulation. Specialty products and services can be provided. Capable of fabricating custom insulation pieces.",https://www.linkedin.com/company/specialty-products-insulation,https://www.spi-co.com/,Approximately 750,750,Insulation product distribution and fabrication,"Specialized distributor and fabricator of mechanical and building insulation products serving thermal, acoustic, fire protection, refractory, marine, and building exterior markets with comprehensive custom fabrication capabilities.",No,,13.0,0.0,False,"Confidence score 9.5 >= 7.0; Employee count 750 (from 'Approximately 750') >= 10; No estimator detected: No estimators found in titles or company details; ICP mismatch: no, specialty products & insulation co. (spi) is primarily focused on insulation and specialty fabri; No decision makers found",Success,"No, Specialty Products & Insulation Co. (SPI) is primarily focused on insulation and specialty fabrications rather than door manufacturing or specialized door supply."
"Mars Air Door, Div. of Mars Air Systems","Manufacturer and distributor of insect control systems and products including air curtains, insect barriers, insect repellants  and screens for doors and windows. Features include corrosion proof and fire-retardant housing, constantly filter air for active purification and are wall mounted. Application is used in restaurants, cafeterias, commercial kitchens, bakeries, food processing plants, warehouses and distribution centers.",https://www.linkedin.com/company/mars-air-systems,https://marsair.com,"501-1,000",501,Industrial Machinery Manufacturing,"Manufacturer and distributor of industrial air curtains and insect control systems that provide environmental barriers for commercial and industrial doorways, featuring specialized technology for sanitation and energy efficiency.","No, company does not employ Division 8 estimators, consistent with their product focus which excludes door manufacturing.",,4.0,0.0,False,"Confidence score 9.2 >= 7.0; Employee count 501 (from '501-1,000') >= 10; No estimator detected: No estimators found in titles or company details; ICP match: no, only partial match; unlike typical door manufacturers, mars air systems specializes in air curta; No decision makers found",Success,"No, only partial match; unlike typical door manufacturers, Mars Air Systems specializes in air curtains and insect control products, not doors or door hardware."
Bieber Architectural Windows,"Custom manufacturer of doors and windows. Products include entrance, lift, folding and sliding doors, aluminum clad, bronze clad, wood windows and doors, triple pane, tilt turn, and accoustic windows. Markets served include residential and commercial sectors.",https://www.linkedin.com/company/bieber-architectural-windows,https://bieberusa.com/,"501-1,000 employees (LinkedIn estimate), estimated likely 100-200 employees based on production",501,Construction / Custom Architectural Windows and Doors Manufacturing,"Bieber Architectural Windows is a custom manufacturer of high-quality, luxury residential and commercial doors and windows including entrance, lift, folding, and sliding doors, as well as aluminum clad, bronze clad, wood windows and doors, triple pane, tilt-turn, and acoustic windows. Founded in 1928 and headquartered in Newport Beach, California, the company emphasizes craftsmanship, architectural design, energy efficiency, and Passivhaus certified products, serving both residential and commercial sectors.",No direct evidence of Division 8 estimators currently on staff; further LinkedIn searches planned.,,0.0,0.0,False,"Confidence score 9.0 >= 7.0; Employee count 501 (from '501-1,000 employees (LinkedIn estimate), estimated likely 100-200 employees based on production') >= 10; No estimator detected: No estimators found in titles or company details; ICP match: yes, this company matches the profile of other premium door and window manufacturers like overly doo; No decision makers found",Success,"Yes, this company matches the profile of other premium door and window manufacturers like Overly Door Co. and Acudor Products, Inc. while differing primarily in its focus on specialized European tilt-turn and high-performance window products."
Senneca Holdings,"Manufacturer of specialty doors. Products include access, fiberglass, fireproof, cold storage, impact, sliding, corrosion resistant, service, strip, traffic and vinyl doors. Serving the retail, manufacturing, food processing, food service, restaurant, hospitality, institutional, pulp and paper, military, pharmaceutical, laboratory research, educational, utilities, recreational and entertainment markets.",https://www.linkedin.com/company/10554210,https://www.senneca.com,"Estimated 501-1,000 (LinkedIn shows ~286)",501,Specialty Door Manufacturing and Wholesale Building Materials,"Diversified management and holding company specializing in manufacturing and holding multiple specialty door brands across diverse markets including retail, manufacturing, hospitality, military, and pharmaceutical sectors, focusing on innovation, sustainability, and operational excellence.","Yes, confirmed by job postings and role listings for estimators related to division 8 scopes.",,9.0,0.0,False,"Confidence score 9.5 >= 7.0; Employee count 501 (from 'Estimated 501-1,000 (LinkedIn shows ~286)') >= 10; Has estimator: yes, confirmed by job postings and role listings for estimators related to division 8 scopes.; ICP match: yes, senneca holdings aligns with companies like overly door co., acudor products, and voestalpine r; No decision makers found",Success,"Yes, Senneca Holdings aligns with companies like Overly Door Co., Acudor Products, and voestalpine Roll Forming Corporation due to its broad product range and market coverage in specialty doors."
"Pull-A-Part LLC, Inc.","Recycling services for automotive industry. Used auto parts such as compressors, condensers, dryers, controls, alternators, wheels, and axles are offered. Brackets, brake calipers, drums, rotors, absorbers, covers, and bumper fillers are provided. Clutches, dash pads, doors, handles, driver mirrors, shafts, and engines are also available.",https://www.linkedin.com/company/pull-a-part,https://www.pullapart.com,"501-1,000",501,"Retail, Automotive Recycling","Pull-A-Part LLC, Inc. operates 36 self-service used auto parts stores across 16 U.S. states, specializing in automotive recycling and selling used automotive parts such as compressors, condensers, brakes, clutches, doors, engines, wheels, and axles. It is a leading privately held company dedicated to environmental and community initiatives within the automotive industry.",No,,6.0,0.0,False,"Confidence score 9.5 >= 7.0; Employee count 501 (from '501-1,000') >= 10; No estimator detected: No estimators found in titles or company details; ICP mismatch: no; No decision makers found",Success,No
"Reborn Cabinets, Inc.","Custom manufacturer of cabinets for kitchens and bathrooms. Products include cabinet doors, drawer fronts and hardware. Markets served include home offices, entertainment centers, garages and closets.",https://www.linkedin.com/company/reborn-cabinets,https://www.reborncabinets.com,501-1000,501,Home Improvement and Remodeling (Custom Cabinet Manufacturing),"Reborn Cabinets, Inc. is a custom manufacturer specializing in kitchens and bathroom cabinetry, offering products such as cabinet doors, drawer fronts, and hardware. They also provide remodeling services including window and door replacements, primarily serving southwestern US markets.","Likely, but not explicitly confirmed",,9.0,0.0,False,"Confidence score 9.5 >= 7.0; Employee count 501 (from '501-1000') >= 10; Has estimator: Found estimator in employee titles; ICP mismatch: no. while they offer doors and hardware as part of their remodeling and cabinetry services, reborn c; No decision makers found",Success,"No. While they offer doors and hardware as part of their remodeling and cabinetry services, Reborn Cabinets focuses broadly on remodeling and cabinetry rather than specializing exclusively in door manufacturing or supply like Overly Door Co. or Acudor Products."
DIRTT Environmental Solutions,"Custom manufacturer of prefabricated interiors. Products include sliding doors, flooring, interior curtain walls and partitions and networks. Markets served include corporate, educational, healthcare, government, residential, retail and hospitality sectors.",https://www.linkedin.com/company/dirtt,https://www.dirtt.com/,"501-1,000",501,Modular/Prefabricated Interior Construction,"DIRTT Environmental Solutions is a publicly traded modular and prefabricated interior construction company headquartered in Calgary, Alberta, specializing in custom modular interiors including sliding doors, partitions, flooring, curtain walls, networks, and integrated systems across diverse markets such as corporate, healthcare, education, government, residential, retail, and hospitality.",No,,3.0,0.0,False,"Confidence score 9.0 >= 7.0; Employee count 501 (from '501-1,000') >= 10; No estimator detected: No estimators found in titles or company details; ICP match: no, dirtt is not similar to typical door suppliers or manufacturers like overly door co., acudor pro; No decision makers found",Success,"No, DIRTT is not similar to typical door suppliers or manufacturers like Overly Door Co., Acudor Products, Inc., or voestalpine because it offers a broader and integrated modular interior systems portfolio beyond just doors."
Trulite,Entrance,https://www.linkedin.com/company/trulite-glass&aluminum-solutions,https://www.trulite.com/,500+ (estimated),500,Architectural Glass and Aluminum Fabrication,"Trulite Glass & Aluminum Solutions is a leading North American architectural glass and aluminum fabricator specializing in engineered entrance doors, aluminum framing systems, and specialty glass products, with over 26 fabrication plants across the US and Canada.","Yes, the company employs Division 8 estimators specialized in door, frame, and hardware cost estimating, confirmed by profiles such as Estimating Manager Dean Tilson.",,5.0,0.0,False,"Confidence score 9.2 >= 7.0; Employee count 500 (from '500+ (estimated)') >= 10; Has estimator: Found estimator in employee titles; ICP match: yes, trulite closely matches other door suppliers and manufacturers like overly door co. and acudor ; No decision makers found",Success,"Yes, Trulite closely matches other door suppliers and manufacturers like Overly Door Co. and Acudor Products, Inc. due to its comprehensive offerings in architectural aluminum entrance doors and framing systems targeting large-scale commercial projects."
